level;category;description;
L;000196;KITS DE PARAFUSOS PARA FORRO DE PORTA;
L;000197;KITS HOMOCINÉTICA;
L;000198;KITS PARAFUSOS PARA TELHAS;
L;000199;LÂMPADAS EM GERAL;
L;000200;LIMPA CONTATO;
L;000201;LIXAS D AGUA;
L;000202;LIXAS FERRO;
L;000203;LONAS DE FREIO;
L;000204;LUVAS BANHADAS;
L;000205;LUVAS PIGMENTADAS;
L;000206;LUVAS DE RASPA;
L;000207;MALETAS COM CONJUNTOS DE SOQUETES;
L;000208;MANDRIL / CHAVE DE MANDRIL;
L;000209;MANGUEIRAS AMARELAS PARA COMBUSTÍVEL;
L;000210;MANGUEIRAS CRISTAIS;
L;000211;MANGUEIRAS CRISTAIS SILICONADAS;
L;000212;MANGUEIRAS HIDROVÁCUO;
L;000213;MANGUEIRAS INJEÇÃO ELETRÔNICA;
L;000214;MANGUEIRAS LONADAS PARA COMBUSTÍVEL;
L;000215;MANGUEIRAS SILICONADAS LISAS;
L;000216;MANGUEIRAS TRANÇADAS PARA COMPRESSOR;
L;000217;MARRETAS;
L;000218;MARTELOS;
L;000219;MÁSCARAS DE PROTEÇÃO;
L;000220;MASSAS PARA POLIR;
L;000221;MULTÍMETROS DIGITAIS;
L;000222;NIPLE REDUÇÃO;
L;000223;NIPLE RETO;
L;000224;ÓCULOS DE SEGURANÇA;
L;000225;PAQUÍMETROS DIGITAIS;
L;000226;PAQUÍMETROS ANALÓGICOS;
L;000227;PARAFUSOS ABRAÇADEIRAS CRUZETAS;
L;000228;PARAFUSOS ABRAÇADEIRAS FLANGE CARDAN;
L;000229;PARAFUSOS ALLEN COM CABEÇA;
L;000230;PARAFUSOS ALLEN COM CABEÇA CHATA;
L;000231;PARAFUSOS ALLEN COM CABEÇA ABAULADA;
L;000232;PARAFUSOS ALLEN SEM CABEÇA;
L;000233;PARAFUSOS ARADOS TIPO A3 - FERRO;
L;000234;PARAFUSOS AUTO ATARRAXANTES CHATA PHILIPS;
L;000235;PARAFUSOS AUTO ATARRAXANTES FLANGEADO PHILIPS;
L;000236;PARAFUSOS AUTO ATARRAXANTES PANELA PHILIPS;
L;000237;PARAFUSOS AUTO ATARRAXANTES SEXT ARRUELADO C/FENDA;
L;000238;PARAFUSOS AUTO ATARRAXANTES OVAIS;
L;000239;PARAFUSOS AUTO ATARRAXANTES PARA FIXAR PARALAMA;
L;000240;PARAFUSOS PARA AUTO FALANTE;
L;000241;PARAFUSOS BICUDOS;
L;000242;PARAFUSOS BROCANTES CABEÇA FLANGEADA;
L;000243;PARAFUSOS BROCANTES CABEÇA CHATA PHILIPS;
L;000244;PARAFUSOS BROCANTES COM ARRUELA FIXA;
L;000245;PARAFUSOS BROCANTES COM ARRUELA MÓVEL;
L;000246;PARAFUSOS BROCANTES FLANGEADO PHILIPS;
L;000247;PARAFUSOS BROCANTES PONTA OGIVADA;
L;000248;PARAFUSOS BUCHAS CARRETAS;
L;000249;PARAFUSOS CABEÇA QUADRADA COM PESCOÇO QUADRADO;
L;000250;PARAFUSOS PARA CAMA;
L;000251;PARAFUSOS CARDAN CRUZETA;
L;000252;ANÉIS ORING - MILÍMETRO - KIT (CAIXA AZUL);
L;000253;ANÉIS ORING - POLEGADA - KIT (CAIXA VERMELHA);
L;000254;PARAFUSOS CHIP FIX CHATA PHILIPS PARA MADEIRA;
L;000255;PARAFUSOS CHIP FIX FLANGEADO PHILIPS PARA MADEIRA;
L;000256;PARAFUSOS CHIP FIX PANELA PHILIPS PARA MADEIRA;
L;000257;PARAFUSOS PARA CINTA DO TANQUE SCANIA;
L;000258;PARAFUSOS DOS COLETORES CARGO;
L;000259;PARAFUSOS CORREIA;
L;000260;PARAFUSOS CRAVO;
L;000261;PARAFUSOS DAS FACAS;
L;000262;PARAFUSOS PARA GESSO / DRYWALL;
L;000263;PARAFUSOS ESTEIRA;
L;000264;PARAFUSOS FACÃO ROÇADEIRA;
L;000265;PARAFUSOS FRANCESES DE AÇO COM PORCA;
L;000266;PARAFUSOS FRANCESES DE AÇO SEM PORCA;
L;000267;PARAFUSOS FRANCESES DE FERRO COM PORCA;
L;000268;PARAFUSOS FRANCESES DE FERRO SEM PORCA;
L;000269;PARAFUSOS FRANCESES INOX SEM PORCA;
L;000270;PARAFUSOS PARA HOMOCINÉTICA;
L;000271;PARAFUSOS LÂMINA;
L;000272;PARAFUSOS MANGA MERCEDES;
L;000273;PARAFUSOS MÁQUINA CHATA FENDA;
L;000274;PARAFUSOS MÁQUINA CHATA PHILIPS;
L;000275;PARAFUSOS MÁQUINA CILÍNDRICA FENDA;
